ccd_count clocking datestart             datestop              dec             dither fep_count hetg letg obsid pcad_mode pitch  power_cmd  q1                 q2               q3               q4                ra            roll          si_mode  simfa_pos simpos trans_keys                                       tstart       tstop        vid_board
4         1        2017:035:18:25:30.816 2017:035:21:12:10.816 38.1775534827   ENAB   4         RETR INSR 19863 NPNT      147.16 XTZ0000005 -0.252887297       -0.809978284     -0.474940147     0.233270338       166.156720365 124.03979792  TE_00CAA -468      79008  pitch                                            602620000.00 602630000.00 1        
4         1        2017:035:21:12:10.816 2017:035:23:58:50.816 38.1775534827   ENAB   4         RETR INSR 19863 NPNT      147.21 XTZ0000005 -0.252887297       -0.809978284     -0.474940147     0.233270338       166.156720365 124.03979792  TE_00CAA -468      79008  pitch                                            602630000.00 602640000.00 1        
4         1        2017:035:23:58:50.816 2017:036:02:45:30.816 38.1775534827   ENAB   4         RETR INSR 19863 NPNT      147.26 XTZ0000005 -0.252887297       -0.809978284     -0.474940147     0.233270338       166.156720365 124.03979792  TE_00CAA -468      79008  pitch                                            602640000.00 602650000.00 1        
4         1        2017:036:02:45:30.816 2017:036:05:32:10.816 38.1775534827   ENAB   4         RETR INSR 19863 NPNT      147.31 XTZ0000005 -0.252887297       -0.809978284     -0.474940147     0.233270338       166.156720365 124.03979792  TE_00CAA -468      79008  pitch                                            602650000.00 602660000.00 1        
4         1        2017:036:05:32:10.816 2017:036:05:34:01.699 38.1775534827   ENAB   4         RETR INSR 19863 NPNT      147.36 XTZ0000005 -0.252887297       -0.809978284     -0.474940147     0.233270338       166.156720365 124.03979792  TE_00CAA -468      79008  pitch                                            602660000.00 602660110.88 1        
4         1        2017:036:05:34:01.699 2017:036:05:39:01.699 38.1775534827   ENAB   4         RETR INSR 19863 NPNT      147.36 XTZ0000005 -0.252887297       -0.809978284     -0.474940147     0.233270338       166.156720365 124.03979792  TE_00CAA -468      79008  dither                                           602660110.88 602660410.88 1        
4         0        2017:036:05:39:01.699 2017:036:05:39:11.950 38.1775534827   ENAB   4         RETR INSR 19863 NMAN      147.36 AA00000000 -0.252887297       -0.809978284     -0.474940147     0.233270338       166.156720365 124.03979792  TE_00CAA -468      -50504 clocking,pcad_mode,power_cmd,simpos              602660410.88 602660421.13 1        
4         0        2017:036:05:39:11.950 2017:036:05:42:01.699 38.1775534827   ENAB   4         RETR INSR 19863 NMAN      147.89 AA00000000 -0.252887297       -0.809978284     -0.474940147     0.233270338       166.156720365 124.03979792  TE_00CAA -468      -50504 dec,pitch,q1,q2,q3,q4,ra,roll                    602660421.13 602660590.88 1        
4         0        2017:036:05:42:01.699 2017:036:05:42:36.038 38.1775534827   ENAB   4         RETR INSR 18932 NMAN      147.89 AA00000000 -0.252887297       -0.809978284     -0.474940147     0.233270338       166.156720365 124.03979792  TE_00CAA -468      -50504 obsid                                            602660590.88 602660625.22 1        
4         0        2017:036:05:42:36.038 2017:036:05:43:35.242 38.1775534827   ENAB   4         RETR RETR 18932 NMAN      147.89 AA00000000 -0.252887297       -0.809978284     -0.474940147     0.233270338       166.156720365 124.03979792  TE_00CAA -468      -50504 letg                                             602660625.22 602660684.43 1        
4         0        2017:036:05:43:35.242 2017:036:05:44:53.105 38.1775534827   ENAB   4         RETR RETR 18932 NMAN      147.89 AA00000000 -0.252887297       -0.809978284     -0.474940147     0.233270338       166.156720365 124.03979792  TE_00CAA -716      -50504 simfa_pos                                        602660684.43 602660762.29 1        
4         0        2017:036:05:44:53.105 2017:036:05:50:34.260 34.5622261246   ENAB   4         RETR RETR 18932 NMAN      149.69 AA00000000 -0.240692901202    -0.799130112914  -0.513126036092  0.200398753459    167.44369879  118.510984853 TE_00CAA -716      -50504 dec,pitch,q1,q2,q3,q4,ra,roll                    602660762.29 602661103.44 1        
4         0        2017:036:05:50:34.260 2017:036:05:54:05.155 24.262671259    ENAB   4         RETR RETR 18932 NMAN      151.30 AA00000000 -0.203636159835    -0.757663229077  -0.610757454229  0.107023722487    168.750899489 104.680424454 TE_00CAA -716      -50504 dec,pitch,q1,q2,q3,q4,ra,roll                    602661103.44 602661314.34 1        
4         0        2017:036:05:54:05.155 2017:036:05:56:15.415 24.262671259    ENAB   4         RETR RETR 18932 NMAN      151.30 AA00000000 -0.203636159835    -0.757663229077  -0.610757454229  0.107023722487    168.750899489 104.680424454 TE_00CAA -716      -50504 dither                                           602661314.34 602661444.60 1        
4         0        2017:036:05:56:15.415 2017:036:08:18:50.816 20.5068312514   ENAB   4         RETR RETR 18932 NPNT      151.66 AA00000000 -0.189095553       -0.738594651     -0.64300885      0.072528841       168.54229127  99.9946708452 TE_00CAA -716      -50504 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll          602661444.60 602670000.00 1        
4         0        2017:036:08:18:50.816 2017:036:08:47:15.155 20.5068312514   ENAB   4         RETR RETR 18932 NPNT      151.74 AA00000000 -0.189095553       -0.738594651     -0.64300885      0.072528841       168.54229127  99.9946708452 TE_00CAA -716      -50504 pitch                                            602670000.00 602671704.34 1        
4         0        2017:036:08:47:15.155 2017:036:08:47:25.406 20.5068312514   ENAB   4         RETR RETR 19736 NMAN      151.74 AA00000000 -0.189095553       -0.738594651     -0.64300885      0.072528841       168.54229127  99.9946708452 TE_00CAA -716      75624  obsid,pcad_mode,simpos                           602671704.34 602671714.59 1        
4         0        2017:036:08:47:25.406 2017:036:08:51:44.042 20.5068312514   ENAB   4         RETR RETR 19736 NMAN      150.36 AA00000000 -0.189095553       -0.738594651     -0.64300885      0.072528841       168.54229127  99.9946708452 TE_00CAA -716      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    602671714.59 602671973.23 1        
4         0        2017:036:08:51:44.042 2017:036:08:52:36.714 20.5068312514   ENAB   4         RETR RETR 19736 NMAN      150.36 AA00000000 -0.189095553       -0.738594651     -0.64300885      0.072528841       168.54229127  99.9946708452 TE_00CAA -418      75624  simfa_pos                                        602671973.23 602672025.90 1        
4         0        2017:036:08:52:36.714 2017:036:08:53:06.402 18.2360504241   ENAB   4         RETR RETR 19736 NMAN      144.15 AA00000000 -0.159765842171    -0.721863412901  -0.669847642086  0.0684998232586   171.591262512 95.6328535776 TE_00CAA -418      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    602672025.90 602672055.59 1        
4         0        2017:036:08:53:06.402 2017:036:08:56:48.703 18.2360504241   ENAB   4         RETR RETR 19736 NMAN      144.15 AA00000000 -0.159765842171    -0.721863412901  -0.669847642086  0.0684998232586   171.591262512 95.6328535776 TE_00CAA -468      75624  simfa_pos                                        602672055.59 602672277.89 1        
4         0        2017:036:08:56:48.703 2017:036:08:56:52.703 18.2360504241   ENAB   4         RETR RETR 19736 NMAN      144.15 AA00000000 -0.159765842171    -0.721863412901  -0.669847642086  0.0684998232586   171.591262512 95.6328535776 TE_00CAA -468      75624  clocking,power_cmd                               602672277.89 602672281.89 1        
4         0        2017:036:08:56:52.703 2017:036:08:56:56.703 18.2360504241   ENAB   4         RETR RETR 19736 NMAN      144.15 AA00000000 -0.159765842171    -0.721863412901  -0.669847642086  0.0684998232586   171.591262512 95.6328535776 TE_00CAA -468      75624  clocking,power_cmd                               602672281.89 602672285.89 1        
0         0        2017:036:08:56:56.703 2017:036:08:57:20.703 18.2360504241   ENAB   0         RETR RETR 19736 NMAN      144.15 WSPOW00000 -0.159765842171    -0.721863412901  -0.669847642086  0.0684998232586   171.591262512 95.6328535776 TE_00CAA -468      75624  ccd_count,clocking,fep_count,power_cmd,vid_board 602672285.89 602672309.89 1        
3         0        2017:036:08:57:20.703 2017:036:08:57:48.021 18.2360504241   ENAB   3         RETR RETR 19736 NMAN      144.15 WSPOW1C00E -0.159765842171    -0.721863412901  -0.669847642086  0.0684998232586   171.591262512 95.6328535776 TE_00CAA -468      75624  ccd_count,clocking,fep_count,power_cmd,vid_board 602672309.89 602672337.20 1        
3         0        2017:036:08:57:48.021 2017:036:08:58:23.703 9.01717977975   ENAB   3         RETR RETR 19736 NMAN      132.97 WSPOW1C00E -0.0574064555272   -0.654524663989  -0.751937400852  0.0537783311324   180.332298528 82.0497448464 TE_00CAA -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    602672337.20 602672372.89 1        
3         0        2017:036:08:58:23.703 2017:036:08:58:27.703 9.01717977975   ENAB   3         RETR RETR 19736 NMAN      132.97 WSPOW1C00E -0.0574064555272   -0.654524663989  -0.751937400852  0.0537783311324   180.332298528 82.0497448464 TE_005C6 -468      75624  si_mode                                          602672372.89 602672376.89 1        
3         1        2017:036:08:58:27.703 2017:036:09:02:59.329 9.01717977975   ENAB   3         RETR RETR 19736 NMAN      132.97 XTZ0000005 -0.0574064555272   -0.654524663989  -0.751937400852  0.0537783311324   180.332298528 82.0497448464 TE_005C6 -468      75624  clocking,power_cmd                               602672376.89 602672648.51 1        
